Project name,Region,Country,Partners,OG_01,Project type,Announcement,FID,Operation,Suspension/decommissioning,Project Status,Project phase,Announced capacity (low) (Mt CO2/yr),Announced capacity (high) (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Ref 1,Ref 2,Ref 3,Ref 4,Ref 5,Ref 6,Ref 7,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7
Denbury Delta Pipeline (MS),North America,United States,Denbury Carbon Solutions,0,Transport,,,2007,,Operational,,,,CO2 transport,,Denbury Delta Pipeline,,,,,,,,,,,,,,
Denbury West Gwinville Pipeline (MS),North America,United States,Denbury Carbon Solutions,0,Transport,,,2008,,Operational,,,,CO2 transport,,Denbury West Gwinville Pipeline,,,,,,,,,,,,,,
Arkalon CO2 Compression Facility (KS),North America,United States,Conestoga,0,Full chain,,,2009,,Operational,,0.19,0.31,Biofuels,EOR,,,,,,,,,,,,,,,
Century plant - (TX),North America,United States,"Occidental, Sandridge Energy",1,Full chain,2008,2008,2010,,Operational,,4.32,4.32,Natural gas processing,EOR,,,,,,,,,,,,,,,
Labarge Shute Creek Gas Processing Plant 2010 expansion (WY),North America,United States,ExxonMobil,1,Full chain,2008,2008,2010,,Operational,2,3.5,3.5,Natural gas processing,EOR,,,,,,,,,,,,,,,
Denbury Green Pipeline (LA-TX),North America,United States,Denbury Carbon Solutions,0,Transport,,,2010,,Operational,,16,16,CO2 transport,,Denbury Green Pipeline,,,,,,,,,,,,,,
Bonanza BioEnergy CCUS (KS),North America,United States,Conestoga,0,Full chain,2010,,2012,,Operational,,0.1,0.1569,Biofuels,EOR,,,,,,,,,,,,,,,
Valero Port Arthur Refinery (TX),North America,United States,"Air products, Denbury",1,Full chain,2009,2011,2013,,Operational,,0.9,0.9,Other fuel transformation,EOR,,,,,,,,,,,,,,,
Lost Cabin Gas Plant (WY),North America,United States,"Contango Oil & Gas (bought plant in 2021 from Conocophillips), Denbury",1,Full chain,2010,2011,2013,,Operational,,0.9,0.9,Natural gas processing,EOR,,,,,,,,,,,,,,,
PCS Nitrogen-Geismar plant (LA),North America,United States,"Nutrien, Denbury",1,Full chain,2011,2011,2013,,Operational,,0.2,0.3,Other industry,EOR,,,,,,,,,,,,,,,
Coffeyville fertiliser Plant (KS),North America,United States,"Coffeyville Resources, Chaparral Energy, Coffeyville Resource Nitrogen Fertilizers",1,Full chain,2011,2011,2013,,Operational,,0.7,0.9,Other industry,EOR,,,,,,,,,,,,,,,
Illinois Industrial Carbon Capture and Storage (IL),North America,United States,ADM,0,Full chain,2009,2011,2017,,Operational,,0.5,1,Biofuels,Dedicated storage,,,,,,,,,,,,,,,
Red Trail Energy BECCS Project (ND),North America,United States,"Plains CO2 Reduction Partnership,  Energy & Environmental Research Centre,  Red Trail Energy",0,Full chain,2016,,2022,,Operational,,0.18,0.18,Biofuels,Dedicated storage,,,,,,,,,,,,,,,
Kemper county CCUS (MS),North America,United States,"Mississippi Power, Souther Energy",1,Full chain,,2010,2017,2017,Decommissioned,,3,3,Power and heat,EOR,,,,,,,,,,,,,,,
Decatur project (IL),North America,United States,"ADM, Midwest Geological Sequestration Consortium",0,Full chain,2009,2011,2011,2014,Decommissioned,,0.33,0.33,Biofuels,Dedicated storage,,,,,,,,,,,,,,,
Oxy CE DAC 100 plants announcement (- 30 in Texas) expansion 2030,North America,United States,"1PointFive, Carbon Engineering",0,Full chain,2022,,2030,,Planned,1,,,Direct Air Capture,Dedicated storage,,,,,,,,,,,,,,,
Oxy CE DAC 100 plants announcement (- 30 in Texas) expansion 2035,North America,United States,"1PointFive, Carbon Engineering",0,Full chain,2022,,2035,,Planned,2,,,Direct Air Capture,Dedicated storage,,,,,,,,,,,,,,,
Removr large-scale plant,Europe,Unknown (Europe),"Removr (Greencap 40%, Vanir Green Industries 60%), Carbfix",0,Capture,2022,,2025,,Planned,,0.002,0.002,Direct Air Capture,,,,,,,,,,,,,,,,
